Frame,Time,[0][0],[0][1],[0][2],[0][3],[1][0],[1][1],[1][2],[1][3],[2][0],[2][1],[2][2],[2][3],[3][0],[3][1],[3][2],[3][3]
1,0.033333,2.222059e-002,-8.545627e-002,9.960941e-001,0.000000e+000,9.979448e-001,-5.800198e-002,-2.723792e-002,0.000000e+000,6.010313e-002,9.946523e-001,8.399180e-002,0.000000e+000,-6.918784e+001,-9.751621e+001,-1.178612e+000,1.000000e+000
2,0.066667,3.641298e-002,-6.507295e-003,9.993157e-001,-1.355253e-020,9.981268e-001,-4.895744e-002,-3.668843e-002,-1.084202e-019,4.916270e-002,9.987797e-001,4.712405e-003,1.734723e-018,-6.869318e+001,-9.777845e+001,2.310619e+000,1.000000e+000
3,0.100000,4.927206e-002,6.911114e-002,9.963915e-001,1.084202e-019,9.980444e-001,-4.182755e-002,-4.645252e-002,-5.421011e-020,3.846627e-002,9.967318e-001,-7.103689e-002,1.734723e-018,-6.828606e+001,-9.795564e+001,5.677796e+000,1.000000e+000
4,0.133333,6.041256e-002,1.394301e-001,9.883873e-001,0.000000e+000,9.977849e-001,-3.606341e-002,-5.589953e-002,0.000000e+000,2.785058e-002,9.895751e-001,-1.412999e-001,0.000000e+000,-6.792449e+001,-9.806491e+001,8.798055e+000,1.000000e+000
5,0.166667,6.958033e-002,2.031988e-001,9.766621e-001,0.000000e+000,9.974256e-001,-3.118810e-002,-6.457069e-002,0.000000e+000,1.733959e-002,9.786407e-001,-2.048457e-001,0.000000e+000,-6.758352e+001,-9.812211e+001,1.159304e+001,1.000000e+000
6,0.200000,7.665727e-002,2.598585e-001,9.625992e-001,0.000000e+000,9.970322e-001,-2.685734e-002,-7.214906e-002,0.000000e+000,7.104334e-003,9.652732e-001,-2.611462e-001,0.000000e+000,-6.725527e+001,-9.813909e+001,1.402342e+001,1.000000e+000
7,0.233333,8.161800e-002,3.094383e-001,9.474103e-001,0.000000e+000,9.966602e-001,-2.283337e-002,-7.840303e-002,0.000000e+000,-2.628295e-003,9.506454e-001,-3.102685e-001,0.000000e+000,-6.694077e+001,-9.812370e+001,1.607901e+001,1.000000e+000
8,0.266667,8.453489e-002,3.523493e-001,9.320428e-001,0.000000e+000,9.963524e-001,-1.895203e-002,-8.320301e-002,0.000000e+000,-1.165239e-002,9.356768e-001,-3.526662e-001,0.000000e+000,-6.664326e+001,-9.808080e+001,1.776553e+001,1.000000e+000
9,0.300000,8.550998e-002,3.892762e-001,9.171434e-001,0.000000e+000,9.961398e-001,-1.507363e-002,-8.647727e-002,0.000000e+000,-1.983884e-002,9.209977e-001,-3.890625e-001,0.000000e+000,-6.636455e+001,-9.801434e+001,1.910007e+001,1.000000e+000
10,0.333333,8.465170e-002,4.212226e-001,9.029981e-001,0.000000e+000,9.960399e-001,-1.105418e-002,-8.821741e-002,0.000000e+000,-2.717723e-002,9.068900e-001,-4.204902e-001,0.000000e+000,-6.610322e+001,-9.792899e+001,2.012006e+001,1.000000e+000
11,0.366667,8.214703e-002,4.493611e-001,8.895652e-001,0.000000e+000,9.960488e-001,-6.796346e-003,-8.854713e-002,0.000000e+000,-3.374383e-002,8.933244e-001,-4.481439e-001,0.000000e+000,-6.585758e+001,-9.782883e+001,2.088235e+001,1.000000e+000
12,0.400000,7.824654e-002,4.747054e-001,8.766597e-001,0.000000e+000,9.961469e-001,-2.292062e-003,-8.767019e-002,0.000000e+000,-3.960813e-002,8.801418e-001,-4.730556e-001,0.000000e+000,-6.563040e+001,-9.771926e+001,2.143789e+001,1.000000e+000
13,0.433333,7.324480e-002,4.979021e-001,8.641347e-001,8.673617e-019,9.963085e-001,2.367734e-003,-8.581220e-002,3.388132e-021,-4.477208e-002,8.672301e-001,-4.958906e-001,1.734723e-018,-6.543074e+001,-9.761076e+001,2.181234e+001,1.000000e+000
14,0.466667,6.748176e-002,5.192704e-001,8.519416e-001,8.673617e-019,9.965056e-001,7.047698e-003,-8.322819e-002,1.355253e-020,-4.922213e-002,8.545811e-001,-5.169802e-001,1.734723e-018,-6.526744e+001,-9.751813e+001,2.201576e+001,1.000000e+000
15,0.500000,6.135210e-002,5.388978e-001,8.401340e-001,0.000000e+000,9.967082e-001,1.161582e-002,-8.023698e-002,0.000000e+000,-5.299835e-002,8.422911e-001,-5.364112e-001,0.000000e+000,-6.514266e+001,-9.745768e+001,2.205866e+001,1.000000e+000
16,0.533333,5.525544e-002,5.567048e-001,8.288707e-001,0.000000e+000,9.968898e-001,1.596003e-002,-7.717559e-002,0.000000e+000,-5.619279e-002,8.305572e-001,-5.540913e-001,0.000000e+000,-6.505160e+001,-9.744410e+001,2.195739e+001,1.000000e+000
17,0.566667,4.953587e-002,5.726830e-001,8.182790e-001,8.673617e-019,9.970320e-001,1.998906e-002,-7.434660e-002,2.710505e-020,-5.893364e-002,8.195332e-001,-5.699931e-001,1.734723e-018,-6.498752e+001,-9.748183e+001,2.175387e+001,1.000000e+000
18,0.600000,4.445783e-002,5.868544e-001,8.084710e-001,0.000000e+000,9.971256e-001,2.363212e-002,-7.198605e-002,0.000000e+000,-6.135120e-002,8.093476e-001,-5.841169e-001,0.000000e+000,-6.494530e+001,-9.756333e+001,2.150304e+001,1.000000e+000
19,0.633333,4.019434e-002,5.991595e-001,7.996201e-001,0.000000e+000,9.971706e-001,2.682324e-002,-7.022326e-002,0.000000e+000,-6.352332e-002,8.001803e-001,-5.963861e-001,0.000000e+000,-6.492429e+001,-9.767083e+001,2.124945e+001,1.000000e+000
20,0.666667,3.683537e-002,6.094831e-001,7.919429e-001,0.000000e+000,9.971747e-001,2.949817e-002,-6.908304e-002,0.000000e+000,-6.546579e-002,7.922502e-001,-6.066745e-001,0.000000e+000,-6.492537e+001,-9.778252e+001,2.102330e+001,1.000000e+000
21,0.700000,3.435619e-002,6.176915e-001,7.856697e-001,0.000000e+000,9.971511e-001,3.163471e-002,-6.847504e-002,0.000000e+000,-6.715086e-002,7.857841e-001,-6.148448e-001,0.000000e+000,-6.494595e+001,-9.788034e+001,2.084269e+001,1.000000e+000
22,0.733333,3.259071e-002,6.236455e-001,7.810276e-001,0.000000e+000,9.971173e-001,3.328305e-002,-6.818392e-002,0.000000e+000,-6.851756e-002,7.809985e-001,-6.207630e-001,0.000000e+000,-6.497813e+001,-9.795667e+001,2.071165e+001,1.000000e+000
23,0.766667,3.133354e-002,6.270815e-001,7.783233e-001,0.000000e+000,9.970934e-001,3.449460e-002,-6.793238e-002,0.000000e+000,-6.944707e-002,7.781896e-001,-6.241779e-001,0.000000e+000,-6.501719e+001,-9.801413e+001,2.061129e+001,1.000000e+000
24,0.800000,3.042051e-002,6.275754e-001,7.779613e-001,0.000000e+000,9.970974e-001,3.529409e-002,-6.746073e-002,0.000000e+000,-6.979412e-002,7.777554e-001,-6.246800e-001,0.000000e+000,-6.506334e+001,-9.806310e+001,2.050458e+001,1.000000e+000
25,0.833333,2.975180e-002,6.246086e-001,7.803710e-001,0.000000e+000,9.971438e-001,3.567453e-002,-6.657013e-002,0.000000e+000,-6.941962e-002,7.801228e-001,-6.217632e-001,0.000000e+000,-6.512157e+001,-9.811754e+001,2.034474e+001,1.000000e+000
26,0.866667,2.922679e-002,6.176455e-001,7.859133e-001,0.000000e+000,9.972466e-001,3.559099e-002,-6.505667e-002,0.000000e+000,-6.815337e-002,7.856509e-001,-6.149047e-001,0.000000e+000,-6.520218e+001,-9.818911e+001,2.007969e+001,1.000000e+000
27,0.900000,2.871500e-002,6.062205e-001,7.947781e-001,0.000000e+000,9.974180e-001,3.498172e-002,-6.271870e-002,0.000000e+000,-6.582405e-002,7.945269e-001,-6.036507e-001,0.000000e+000,-6.531750e+001,-9.828240e+001,1.966378e+001,1.000000e+000
28,0.933333,2.806713e-002,5.900595e-001,8.068717e-001,0.000000e+000,9.976608e-001,3.379788e-002,-5.941985e-002,0.000000e+000,-6.233178e-002,8.066521e-001,-5.877306e-001,0.000000e+000,-6.547778e+001,-9.839230e+001,1.907047e+001,1.000000e+000
29,0.966667,2.721559e-002,5.690280e-001,8.218677e-001,0.000000e+000,9.979635e-001,3.198176e-002,-5.518971e-002,0.000000e+000,-5.768924e-002,8.216960e-001,-5.669987e-001,0.000000e+000,-6.569295e+001,-9.850697e+001,1.829228e+001,1.000000e+000
30,1.000000,2.624858e-002,5.431123e-001,8.392497e-001,0.000000e+000,9.982991e-001,2.947668e-002,-5.029853e-002,0.000000e+000,-5.205602e-002,8.391425e-001,-5.414149e-001,0.000000e+000,-6.597163e+001,-9.861366e+001,1.733771e+001,1.000000e+000
31,1.033333,2.531327e-002,5.123882e-001,8.583808e-001,0.000000e+000,9.986352e-001,2.627825e-002,-4.513539e-002,0.000000e+000,-4.568356e-002,8.583518e-001,-5.110236e-001,0.000000e+000,-6.631522e+001,-9.870475e+001,1.622106e+001,1.000000e+000
