Frame,Time,[0][0],[0][1],[0][2],[0][3],[1][0],[1][1],[1][2],[1][3],[2][0],[2][1],[2][2],[2][3],[3][0],[3][1],[3][2],[3][3]
1,0.033333,-3.997724e-002,9.991868e-001,-5.257497e-003,0.000000e+000,1.976375e-001,1.306496e-002,9.801880e-001,0.000000e+000,9.794596e-001,3.814612e-002,-1.979991e-001,0.000000e+000,-1.336427e+000,6.191183e+001,5.678207e+001,1.000000e+000
2,0.066667,-3.843091e-002,9.992073e-001,-1.039249e-002,0.000000e+000,2.456710e-001,1.952879e-002,9.691565e-001,0.000000e+000,9.685912e-001,3.469242e-002,-2.462267e-001,0.000000e+000,9.580913e-001,6.204970e+001,5.633923e+001,1.000000e+000
3,0.100000,-3.770686e-002,9.991714e-001,-1.532489e-002,0.000000e+000,2.909767e-001,2.564958e-002,9.563861e-001,0.000000e+000,9.559868e-001,3.160312e-002,-2.917027e-001,0.000000e+000,3.175581e+000,6.216732e+001,5.587038e+001,1.000000e+000
4,0.133333,-3.785177e-002,9.990855e-001,-1.988372e-002,0.000000e+000,3.327908e-001,3.136538e-002,9.424788e-001,0.000000e+000,9.422407e-001,2.905736e-002,-3.336737e-001,0.000000e+000,5.284904e+000,6.226316e+001,5.536987e+001,1.000000e+000
5,0.166667,-3.885157e-002,9.989572e-001,-2.398227e-002,0.000000e+000,3.707478e-001,3.669814e-002,9.280081e-001,0.000000e+000,9.279206e-001,2.716319e-002,-3.717870e-001,0.000000e+000,7.257472e+000,6.234045e+001,5.483746e+001,1.000000e+000
6,0.200000,-4.058572e-002,9.987953e-001,-2.758118e-002,0.000000e+000,4.047129e-001,4.167100e-002,9.134938e-001,0.000000e+000,9.135427e-001,2.591233e-002,-4.059166e-001,0.000000e+000,9.070477e+000,6.240559e+001,5.427966e+001,1.000000e+000
7,0.233333,-4.284069e-002,9.986119e-001,-3.064530e-002,0.000000e+000,4.349383e-001,4.625571e-002,8.992713e-001,0.000000e+000,8.994405e-001,2.519658e-002,-4.363162e-001,0.000000e+000,1.070822e+001,6.246611e+001,5.370391e+001,1.000000e+000
8,0.266667,-4.540839e-002,9.984182e-001,-3.315474e-002,0.000000e+000,4.619726e-001,5.041438e-002,8.854601e-001,0.000000e+000,8.857310e-001,2.489073e-002,-4.635310e-001,0.000000e+000,1.216372e+001,6.252916e+001,5.311538e+001,1.000000e+000
9,0.300000,-4.813169e-002,9.982238e-001,-3.510923e-002,0.000000e+000,4.864579e-001,5.412633e-002,8.720257e-001,0.000000e+000,8.723773e-001,2.489291e-002,-4.881990e-001,0.000000e+000,1.343965e+001,6.260051e+001,5.251602e+001,1.000000e+000
10,0.333333,-5.090504e-002,9.980347e-001,-3.654354e-002,0.000000e+000,5.089931e-001,5.740870e-002,8.588540e-001,0.000000e+000,8.592640e-001,2.511957e-002,-5.109152e-001,0.000000e+000,1.455144e+001,6.268414e+001,5.190530e+001,1.000000e+000
11,0.366667,-5.364085e-002,9.978549e-001,-3.752803e-002,0.000000e+000,5.299739e-001,6.030133e-002,8.458672e-001,0.000000e+000,8.463157e-001,2.548415e-002,-5.320716e-001,0.000000e+000,1.552773e+001,6.278255e+001,5.128345e+001,1.000000e+000
12,0.400000,-5.625003e-002,9.976872e-001,-3.815917e-002,0.000000e+000,5.495440e-001,6.284754e-002,8.330976e-001,0.000000e+000,8.335690e-001,2.589161e-002,-5.518081e-001,0.000000e+000,1.640977e+001,6.289660e+001,5.065383e+001,1.000000e+000
13,0.433333,-5.869547e-002,9.975331e-001,-3.850289e-002,0.000000e+000,5.677776e-001,6.508218e-002,8.206051e-001,0.000000e+000,8.210867e-001,2.630471e-002,-5.701970e-001,0.000000e+000,1.724136e+001,6.302468e+001,5.002004e+001,1.000000e+000
14,0.466667,-6.100962e-002,9.973899e-001,-3.861597e-002,0.000000e+000,5.847775e-001,6.706987e-002,8.084162e-001,0.000000e+000,8.088962e-001,2.673941e-002,-5.873430e-001,0.000000e+000,1.805927e+001,6.316520e+001,4.938525e+001,1.000000e+000
15,0.500000,-6.327155e-002,9.972510e-001,-3.856445e-002,0.000000e+000,6.006423e-001,6.891124e-002,7.965425e-001,0.000000e+000,7.970104e-001,2.723503e-002,-6.033512e-001,0.000000e+000,1.888790e+001,6.331656e+001,4.875326e+001,1.000000e+000
16,0.533333,-6.557790e-002,9.971068e-001,-3.843961e-002,0.000000e+000,6.154403e-001,7.073914e-002,7.850025e-001,0.000000e+000,7.854506e-001,2.782151e-002,-6.182986e-001,0.000000e+000,1.973538e+001,6.347570e+001,4.812967e+001,1.000000e+000
17,0.566667,-6.800631e-002,9.969469e-001,-3.836607e-002,0.000000e+000,6.291948e-001,7.270037e-002,7.738400e-001,0.000000e+000,7.742667e-001,2.848625e-002,-6.322179e-001,0.000000e+000,2.059114e+001,6.363693e+001,4.752298e+001,1.000000e+000
18,0.600000,-7.055134e-002,9.967669e-001,-3.844846e-002,0.000000e+000,6.418104e-001,7.486649e-002,7.632000e-001,0.000000e+000,7.636111e-001,2.916816e-002,-6.450173e-001,0.000000e+000,2.142906e+001,6.379391e+001,4.694521e+001,1.000000e+000
19,0.633333,-7.306179e-002,9.965754e-001,-3.872131e-002,0.000000e+000,6.530436e-001,7.714862e-002,7.533804e-001,0.000000e+000,7.537878e-001,2.975662e-002,-6.564438e-001,0.000000e+000,2.221308e+001,6.394155e+001,4.641199e+001,1.000000e+000
20,0.666667,-7.525926e-002,9.963948e-001,-3.915982e-002,0.000000e+000,6.625831e-001,7.931679e-002,7.447768e-001,0.000000e+000,7.451978e-001,3.010471e-002,-6.661636e-001,0.000000e+000,2.290504e+001,6.407591e+001,4.594201e+001,1.000000e+000
21,0.700000,-7.687341e-002,9.962499e-001,-3.970844e-002,0.000000e+000,6.701429e-001,8.111671e-002,7.377862e-001,0.000000e+000,7.382404e-001,3.010580e-002,-6.738656e-001,0.000000e+000,2.347006e+001,6.419422e+001,4.555414e+001,1.000000e+000
22,0.733333,-7.777465e-002,9.961558e-001,-4.030806e-002,0.000000e+000,6.755381e-001,8.239048e-002,7.327071e-001,0.000000e+000,7.332116e-001,2.975641e-002,-6.793491e-001,0.000000e+000,2.388140e+001,6.429514e+001,4.526413e+001,1.000000e+000
23,0.766667,-7.796927e-002,9.961155e-001,-4.092297e-002,0.000000e+000,6.786470e-001,8.309989e-002,7.297482e-001,0.000000e+000,7.303143e-001,2.912566e-002,-6.824902e-001,0.000000e+000,2.412115e+001,6.437894e+001,4.508558e+001,1.000000e+000
24,0.800000,-7.754627e-002,9.961224e-001,-4.155305e-002,0.000000e+000,6.793834e-001,8.330048e-002,7.290398e-001,0.000000e+000,7.296743e-001,2.830385e-002,-6.832088e-001,0.000000e+000,2.418172e+001,6.444736e+001,4.502963e+001,1.000000e+000
25,0.833333,-7.660248e-002,9.961678e-001,-4.220983e-002,0.000000e+000,6.776451e-001,8.306960e-002,7.306821e-001,0.000000e+000,7.313884e-001,2.736877e-002,-6.814117e-001,0.000000e+000,2.406275e+001,6.450218e+001,4.510376e+001,1.000000e+000
26,0.866667,-7.528637e-002,9.962385e-001,-4.290453e-002,0.000000e+000,6.732591e-001,8.252334e-002,7.347870e-001,0.000000e+000,7.355638e-001,2.643358e-002,-6.769395e-001,0.000000e+000,2.376592e+001,6.454375e+001,4.531266e+001,1.000000e+000
27,0.900000,-7.379785e-002,9.963173e-001,-4.365574e-002,0.000000e+000,6.659670e-001,8.181814e-002,7.414806e-001,0.000000e+000,7.423218e-001,2.564639e-002,-6.695525e-001,0.000000e+000,2.329149e+001,6.457158e+001,4.565857e+001,1.000000e+000
28,0.933333,-7.233763e-002,9.963869e-001,-4.450133e-002,0.000000e+000,6.554995e-001,8.112313e-002,7.508258e-001,0.000000e+000,7.517231e-001,2.514235e-002,-6.589994e-001,0.000000e+000,2.264018e+001,6.458629e+001,4.613776e+001,1.000000e+000
29,0.966667,-7.100012e-002,9.964380e-001,-4.550174e-002,0.000000e+000,6.416772e-001,8.055176e-002,7.627329e-001,0.000000e+000,7.636814e-001,2.495670e-002,-6.451107e-001,0.000000e+000,2.181611e+001,6.459218e+001,4.673734e+001,1.000000e+000
30,1.000000,-6.979817e-002,9.964681e-001,-4.668694e-002,0.000000e+000,6.244467e-001,8.014147e-002,7.769450e-001,0.000000e+000,7.779425e-001,2.507583e-002,-6.278349e-001,0.000000e+000,2.082745e+001,6.459625e+001,4.743776e+001,1.000000e+000
31,1.033333,-6.872474e-002,9.964799e-001,-4.800798e-002,0.000000e+000,6.039348e-001,7.985780e-002,7.930229e-001,0.000000e+000,7.940653e-001,2.550660e-002,-6.072970e-001,0.000000e+000,1.968807e+001,6.460612e+001,4.821469e+001,1.000000e+000
32,1.066667,-6.778831e-002,9.964777e-001,-4.936691e-002,0.000000e+000,5.803989e-001,7.963314e-002,8.104292e-001,0.000000e+000,8.115059e-001,2.628512e-002,-5.837528e-001,0.000000e+000,1.841321e+001,6.462753e+001,4.904170e+001,1.000000e+000
33,1.100000,-6.702955e-002,9.964640e-001,-5.066198e-002,0.000000e+000,5.542050e-001,7.940660e-002,8.285839e-001,0.000000e+000,8.296769e-001,2.746248e-002,-5.575679e-001,0.000000e+000,1.701628e+001,6.466241e+001,4.989200e+001,1.000000e+000
