Frame,Time,[0][0],[0][1],[0][2],[0][3],[1][0],[1][1],[1][2],[1][3],[2][0],[2][1],[2][2],[2][3],[3][0],[3][1],[3][2],[3][3]
1,0.033333,-1.270288e-001,2.130380e-001,9.687510e-001,0.000000e+000,9.853030e-001,1.395477e-001,9.851127e-002,0.000000e+000,-1.142004e-001,9.670271e-001,-2.276336e-001,0.000000e+000,-5.875149e+001,-1.198655e+001,6.160595e+000,1.000000e+000
2,0.066667,-1.270055e-001,2.162692e-001,9.680378e-001,0.000000e+000,9.852805e-001,1.400854e-001,9.797128e-002,0.000000e+000,-1.144198e-001,9.662318e-001,-2.308775e-001,0.000000e+000,-5.862317e+001,-1.214316e+001,5.840442e+000,1.000000e+000
3,0.100000,-1.271372e-001,2.205010e-001,9.670654e-001,0.000000e+000,9.852760e-001,1.404389e-001,9.750973e-002,0.000000e+000,-1.143126e-001,9.652234e-001,-2.351094e-001,0.000000e+000,-5.850362e+001,-1.225420e+001,5.539251e+000,1.000000e+000
4,0.133333,-1.274538e-001,2.260738e-001,9.657361e-001,0.000000e+000,9.852805e-001,1.406926e-001,9.709780e-002,0.000000e+000,-1.139206e-001,9.638965e-001,-2.406780e-001,0.000000e+000,-5.839448e+001,-1.231791e+001,5.266993e+000,1.000000e+000
5,0.166667,-1.279654e-001,2.332770e-001,9.639537e-001,0.000000e+000,9.852769e-001,1.410112e-001,9.667135e-002,0.000000e+000,-1.133770e-001,9.621320e-001,-2.478871e-001,0.000000e+000,-5.829646e+001,-1.234177e+001,5.034267e+000,1.000000e+000
6,0.200000,-1.286661e-001,2.423065e-001,9.616301e-001,0.000000e+000,9.852482e-001,1.415629e-001,9.615594e-002,0.000000e+000,-1.128320e-001,9.598165e-001,-2.569464e-001,0.000000e+000,-5.821067e+001,-1.233607e+001,4.851628e+000,1.000000e+000
7,0.233333,-1.295437e-001,2.531984e-001,9.587017e-001,0.000000e+000,9.851875e-001,1.424216e-001,9.550823e-002,0.000000e+000,-1.123573e-001,9.568735e-001,-2.678977e-001,0.000000e+000,-5.813900e+001,-1.230720e+001,4.728304e+000,1.000000e+000
8,0.266667,-1.305758e-001,2.658583e-001,9.551279e-001,0.000000e+000,9.850983e-001,1.435657e-001,9.471177e-002,0.000000e+000,-1.119437e-001,9.532620e-001,-2.806428e-001,0.000000e+000,-5.808286e+001,-1.225439e+001,4.673661e+000,1.000000e+000
9,0.300000,-1.317027e-001,2.800409e-001,9.509108e-001,0.000000e+000,9.849980e-001,1.448730e-001,9.375912e-002,0.000000e+000,-1.115049e-001,9.489938e-001,-2.949199e-001,0.000000e+000,-5.804481e+001,-1.216993e+001,4.695015e+000,1.000000e+000
10,0.333333,-1.328218e-001,2.954397e-001,9.460834e-001,0.000000e+000,9.849160e-001,1.461487e-001,9.263472e-002,0.000000e+000,-1.109009e-001,9.441166e-001,-3.103951e-001,0.000000e+000,-5.802659e+001,-1.204317e+001,4.793975e+000,1.000000e+000
