Frame,Time,[0][0],[0][1],[0][2],[0][3],[1][0],[1][1],[1][2],[1][3],[2][0],[2][1],[2][2],[2][3],[3][0],[3][1],[3][2],[3][3]
1,0.033333,-9.400981e-002,9.923939e-001,-7.947560e-002,0.000000e+000,1.667272e-001,9.439521e-002,9.814742e-001,0.000000e+000,9.815112e-001,7.901746e-002,-1.743332e-001,0.000000e+000,-8.091417e+000,6.061489e+001,2.324876e+001,1.000000e+000
2,0.066667,-9.309202e-002,9.926965e-001,-7.672898e-002,0.000000e+000,1.888594e-001,9.327004e-002,9.775648e-001,0.000000e+000,9.775817e-001,7.651250e-002,-1.961627e-001,0.000000e+000,-7.362731e+000,6.058458e+001,2.322994e+001,1.000000e+000
3,0.100000,-9.214477e-002,9.929734e-001,-7.424872e-002,0.000000e+000,2.123716e-001,9.244812e-002,9.728061e-001,0.000000e+000,9.728348e-001,7.387067e-002,-2.193980e-001,0.000000e+000,-6.648215e+000,6.054543e+001,2.318993e+001,1.000000e+000
4,0.133333,-9.126467e-002,9.932116e-001,-7.212014e-002,0.000000e+000,2.370210e-001,9.200634e-002,9.671380e-001,0.000000e+000,9.672083e-001,7.117154e-002,-2.438089e-001,0.000000e+000,-5.954898e+000,6.049873e+001,2.312626e+001,1.000000e+000
5,0.166667,-9.058172e-002,9.933942e-001,-7.044668e-002,0.000000e+000,2.623170e-001,9.203895e-002,9.605824e-001,0.000000e+000,9.607210e-001,6.853185e-002,-2.689212e-001,0.000000e+000,-5.290818e+000,6.044828e+001,2.303968e+001,1.000000e+000
6,0.200000,-9.020235e-002,9.935079e-001,-6.932182e-002,0.000000e+000,2.876486e-001,9.262870e-002,9.532462e-001,0.000000e+000,9.534788e-001,6.604472e-002,-2.941365e-001,0.000000e+000,-4.666021e+000,6.039836e+001,2.293337e+001,1.000000e+000
7,0.233333,-9.021733e-002,9.935451e-001,-6.876666e-002,0.000000e+000,3.124214e-001,9.379649e-002,9.453016e-001,0.000000e+000,9.456500e-001,6.379841e-002,-3.188668e-001,0.000000e+000,-4.092099e+000,6.035368e+001,2.281066e+001,1.000000e+000
8,0.266667,-9.070597e-002,9.935026e-001,-6.873837e-002,0.000000e+000,3.362090e-001,9.551989e-002,9.369309e-001,0.000000e+000,9.374092e-001,6.187477e-002,-3.426887e-001,0.000000e+000,-3.581261e+000,6.031784e+001,2.267369e+001,1.000000e+000
9,0.300000,-9.171725e-002,9.933811e-001,-6.915012e-002,0.000000e+000,3.588502e-001,9.774923e-002,9.282627e-001,0.000000e+000,9.288781e-001,6.032316e-002,-3.654404e-001,0.000000e+000,-3.143884e+000,6.029179e+001,2.252353e+001,1.000000e+000
10,0.333333,-9.323834e-002,9.931875e-001,-6.989386e-002,0.000000e+000,3.803443e-001,1.004056e-001,9.193786e-001,0.000000e+000,9.201331e-001,5.913761e-002,-3.871148e-001,0.000000e+000,-2.784132e+000,6.027489e+001,2.236094e+001,1.000000e+000
