Frame,Time,[0][0],[0][1],[0][2],[0][3],[1][0],[1][1],[1][2],[1][3],[2][0],[2][1],[2][2],[2][3],[3][0],[3][1],[3][2],[3][3]
1,0.033333,-9.400982e-002,1.667272e-001,9.815112e-001,0.000000e+000,9.923941e-001,9.439522e-002,7.901747e-002,0.000000e+000,-7.947560e-002,9.814742e-001,-1.743332e-001,0.000000e+000,-5.906682e+001,-2.719076e+001,7.205212e+000,1.000000e+000
2,0.066667,-9.309204e-002,1.888593e-001,9.775817e-001,0.000000e+000,9.926968e-001,9.327004e-002,7.651250e-002,0.000000e+000,-7.672899e-002,9.775648e-001,-1.961627e-001,0.000000e+000,-5.904512e+001,-2.696898e+001,7.119041e+000,1.000000e+000
3,0.100000,-9.214478e-002,2.123716e-001,9.728349e-001,0.000000e+000,9.929736e-001,9.244813e-002,7.387068e-002,0.000000e+000,-7.424872e-002,9.728060e-001,-2.193980e-001,0.000000e+000,-5.901079e+001,-2.674472e+001,7.082908e+000,1.000000e+000
4,0.133333,-9.126468e-002,2.370210e-001,9.672083e-001,0.000000e+000,9.932118e-001,9.200634e-002,7.117155e-002,0.000000e+000,-7.212015e-002,9.671380e-001,-2.438089e-001,0.000000e+000,-5.896365e+001,-2.652112e+001,7.092227e+000,1.000000e+000
5,0.166667,-9.058172e-002,2.623169e-001,9.607209e-001,0.000000e+000,9.933944e-001,9.203896e-002,6.853186e-002,0.000000e+000,-7.044669e-002,9.605825e-001,-2.689212e-001,0.000000e+000,-5.890516e+001,-2.630724e+001,7.136225e+000,1.000000e+000
6,0.200000,-9.020236e-002,2.876486e-001,9.534788e-001,0.000000e+000,9.935080e-001,9.262869e-002,6.604472e-002,0.000000e+000,-6.932183e-002,9.532461e-001,-2.941365e-001,0.000000e+000,-5.883736e+001,-2.611360e+001,7.205503e+000,1.000000e+000
7,0.233333,-9.021733e-002,3.124213e-001,9.456498e-001,0.000000e+000,9.935452e-001,9.379651e-002,6.379841e-002,0.000000e+000,-6.876666e-002,9.453016e-001,-3.188668e-001,0.000000e+000,-5.876468e+001,-2.594545e+001,7.292786e+000,1.000000e+000
8,0.266667,-9.070597e-002,3.362089e-001,9.374092e-001,0.000000e+000,9.935027e-001,9.551989e-002,6.187477e-002,0.000000e+000,-6.873838e-002,9.369309e-001,-3.426887e-001,0.000000e+000,-5.869222e+001,-2.580118e+001,7.394973e+000,1.000000e+000
9,0.300000,-9.171726e-002,3.588502e-001,9.288781e-001,0.000000e+000,9.933813e-001,9.774922e-002,6.032317e-002,0.000000e+000,-6.915013e-002,9.282627e-001,-3.654404e-001,0.000000e+000,-5.862358e+001,-2.567304e+001,7.514301e+000,1.000000e+000
10,0.333333,-9.323835e-002,3.803442e-001,9.201331e-001,0.000000e+000,9.931875e-001,1.004056e-001,5.913761e-002,0.000000e+000,-6.989386e-002,9.193786e-001,-3.871149e-001,0.000000e+000,-5.856097e+001,-2.555118e+001,7.653512e+000,1.000000e+000
11,0.366667,-9.516694e-002,4.007314e-001,9.112395e-001,0.000000e+000,9.929370e-001,1.033634e-001,5.824350e-002,0.000000e+000,-7.084886e-002,9.103462e-001,-4.077379e-001,0.000000e+000,-5.850628e+001,-2.542756e+001,7.809918e+000,1.000000e+000
12,0.400000,-9.734159e-002,4.200547e-001,9.022630e-001,0.000000e+000,9.926528e-001,1.064429e-001,5.753812e-002,0.000000e+000,-7.187039e-002,9.012347e-001,-4.273297e-001,0.000000e+000,-5.846289e+001,-2.529683e+001,7.971534e+000,1.000000e+000
13,0.433333,-9.957814e-002,4.383701e-001,8.932614e-001,0.000000e+000,9.923624e-001,1.094414e-001,5.691702e-002,0.000000e+000,-7.280903e-002,8.921067e-001,-4.459200e-001,0.000000e+000,-5.843574e+001,-2.515801e+001,8.116959e+000,1.000000e+000
14,0.466667,-1.017053e-001,4.557535e-001,8.842763e-001,0.000000e+000,9.920871e-001,1.122443e-001,5.625484e-002,0.000000e+000,-7.361664e-002,8.830006e-001,-4.635630e-001,0.000000e+000,-5.842737e+001,-2.501835e+001,8.224048e+000,1.000000e+000
15,0.500000,-1.036113e-001,4.721974e-001,8.753824e-001,-2.168404e-019,9.918384e-001,1.148047e-001,5.546741e-002,3.469447e-018,-7.430647e-002,8.739848e-001,-4.802386e-001,-2.168404e-019,-5.843866e+001,-2.489127e+001,8.272403e+000,1.000000e+000
16,0.533333,-1.052343e-001,4.875098e-001,8.667525e-001,0.000000e+000,9.916247e-001,1.170682e-001,5.454959e-002,0.000000e+000,-7.487570e-002,8.652337e-001,-4.957463e-001,0.000000e+000,-5.846944e+001,-2.479135e+001,8.245668e+000,1.000000e+000
17,0.566667,-1.065304e-001,5.014091e-001,8.586268e-001,0.000000e+000,9.914520e-001,1.189879e-001,5.352511e-002,0.000000e+000,-7.532829e-002,8.569894e-001,-5.097988e-001,0.000000e+000,-5.851670e+001,-2.472835e+001,8.140772e+000,1.000000e+000
18,0.600000,-1.074981e-001,5.136501e-001,8.512389e-001,0.000000e+000,9.913186e-001,1.205759e-001,5.243066e-002,0.000000e+000,-7.570788e-002,8.494852e-001,-5.221525e-001,0.000000e+000,-5.857433e+001,-2.470458e+001,7.971818e+000,1.000000e+000
19,0.633333,-1.082152e-001,5.241081e-001,8.447485e-001,0.000000e+000,9.912113e-001,1.219234e-001,5.133248e-002,0.000000e+000,-7.609082e-002,8.428792e-001,-5.326958e-001,0.000000e+000,-5.863481e+001,-2.471542e+001,7.766649e+000,1.000000e+000
20,0.666667,-1.087988e-001,5.327367e-001,8.392582e-001,0.000000e+000,9.911130e-001,1.231388e-001,5.031986e-002,0.000000e+000,-7.653802e-002,8.372744e-001,-5.413996e-001,0.000000e+000,-5.869234e+001,-2.475049e+001,7.558589e+000,1.000000e+000
21,0.700000,-1.093042e-001,5.394905e-001,8.348668e-001,0.000000e+000,9.910163e-001,1.242649e-001,4.944804e-002,0.000000e+000,-7.706788e-002,8.327714e-001,-5.482265e-001,0.000000e+000,-5.874375e+001,-2.479634e+001,7.378244e+000,1.000000e+000
22,0.733333,-1.096966e-001,5.442974e-001,8.316892e-001,0.000000e+000,9.909261e-001,1.252685e-001,4.871763e-002,0.000000e+000,-7.766756e-002,8.294867e-001,-5.531000e-001,0.000000e+000,-5.878949e+001,-2.484120e+001,7.247254e+000,1.000000e+000
23,0.766667,-1.099119e-001,5.470580e-001,8.298475e-001,0.000000e+000,9.908525e-001,1.260786e-001,4.812234e-002,0.000000e+000,-7.830030e-002,8.275456e-001,-5.559113e-001,0.000000e+000,-5.883228e+001,-2.487885e+001,7.174498e+000,1.000000e+000
24,0.800000,-1.099188e-001,5.476699e-001,8.294429e-001,0.000000e+000,9.908030e-001,1.266302e-001,4.769022e-002,0.000000e+000,-7.891404e-002,8.270565e-001,-5.565520e-001,0.000000e+000,-5.887461e+001,-2.491090e+001,7.154714e+000,1.000000e+000
25,0.833333,-1.097113e-001,5.459976e-001,8.305721e-001,0.000000e+000,9.907826e-001,1.268725e-001,4.747088e-002,0.000000e+000,-7.945777e-002,8.281243e-001,-5.548842e-001,0.000000e+000,-5.891816e+001,-2.494388e+001,7.175223e+000,1.000000e+000
26,0.866667,-1.092877e-001,5.418939e-001,8.333110e-001,0.000000e+000,9.907935e-001,1.267760e-001,4.750010e-002,0.000000e+000,-7.990383e-002,8.308302e-001,-5.507600e-001,0.000000e+000,-5.896356e+001,-2.498493e+001,7.223522e+000,1.000000e+000
27,0.900000,-1.086469e-001,5.352675e-001,8.376661e-001,0.000000e+000,9.908348e-001,1.263484e-001,4.777674e-002,0.000000e+000,-8.026443e-002,8.351794e-001,-5.440890e-001,0.000000e+000,-5.901049e+001,-2.503853e+001,7.291853e+000,1.000000e+000
28,0.933333,-1.078267e-001,5.260776e-001,8.435731e-001,0.000000e+000,9.908981e-001,1.256529e-001,4.829702e-002,0.000000e+000,-8.058947e-002,8.411025e-001,-5.348380e-001,0.000000e+000,-5.905896e+001,-2.510744e+001,7.376173e+000,1.000000e+000
29,0.966667,-1.069262e-001,5.143448e-001,8.508915e-001,0.000000e+000,9.909665e-001,1.248038e-001,4.908739e-002,0.000000e+000,-8.094668e-002,8.484536e-001,-5.230432e-001,0.000000e+000,-5.911050e+001,-2.519399e+001,7.472876e+000,1.000000e+000
30,1.000000,-1.060488e-001,5.001645e-001,8.594120e-001,0.000000e+000,9.910253e-001,1.238994e-001,5.018193e-002,0.000000e+000,-8.138145e-002,8.570206e-001,-5.088150e-001,0.000000e+000,-5.916780e+001,-2.529988e+001,7.576661e+000,1.000000e+000
31,1.033333,-1.052888e-001,4.838045e-001,8.688195e-001,0.000000e+000,9.910610e-001,1.230293e-001,5.159349e-002,0.000000e+000,-8.192912e-002,8.664854e-001,-4.924335e-001,0.000000e+000,-5.923336e+001,-2.542629e+001,7.682756e+000,1.000000e+000
