Frame,Time,[0][0],[0][1],[0][2],[0][3],[1][0],[1][1],[1][2],[1][3],[2][0],[2][1],[2][2],[2][3],[3][0],[3][1],[3][2],[3][3]
23,0.766667,-5.816781e-002,3.934823e-001,9.174902e-001,0.000000e+000,9.917340e-001,1.280652e-001,7.951696e-003,0.000000e+000,-1.143697e-001,9.103686e-001,-3.976790e-001,0.000000e+000,-5.696204e+001,2.256268e+001,6.248099e+000,1.000000e+000
24,0.800000,-5.850718e-002,3.927381e-001,9.177874e-001,0.000000e+000,9.916284e-001,1.288731e-001,8.067226e-003,0.000000e+000,-1.151098e-001,9.105759e-001,-3.969902e-001,0.000000e+000,-5.700340e+001,2.247854e+001,6.263578e+000,1.000000e+000
25,0.833333,-5.869744e-002,3.921104e-001,9.180437e-001,0.000000e+000,9.915438e-001,1.295213e-001,8.076337e-003,0.000000e+000,-1.157394e-001,9.107545e-001,-3.963972e-001,0.000000e+000,-5.703922e+001,2.241596e+001,6.289739e+000,1.000000e+000
26,0.866667,-5.875623e-002,3.916503e-001,9.182363e-001,0.000000e+000,9.914858e-001,1.299684e-001,8.008595e-003,0.000000e+000,-1.162052e-001,9.108887e-001,-3.959522e-001,0.000000e+000,-5.707071e+001,2.237038e+001,6.310175e+000,1.000000e+000
27,0.900000,-5.874947e-002,3.913729e-001,9.183549e-001,0.000000e+000,9.914506e-001,1.302426e-001,7.920416e-003,0.000000e+000,-1.165091e-001,9.109688e-001,-3.956786e-001,0.000000e+000,-5.709806e+001,2.233623e+001,6.314638e+000,1.000000e+000
28,0.933333,-5.873616e-002,3.912356e-001,9.184143e-001,0.000000e+000,9.914278e-001,1.304202e-001,7.847891e-003,0.000000e+000,-1.167094e-001,9.110023e-001,-3.955423e-001,0.000000e+000,-5.712220e+001,2.230816e+001,6.303558e+000,1.000000e+000
29,0.966667,-5.871131e-002,3.911326e-001,9.184597e-001,0.000000e+000,9.914083e-001,1.305731e-001,7.768933e-003,0.000000e+000,-1.168875e-001,9.110247e-001,-3.954383e-001,0.000000e+000,-5.714581e+001,2.228292e+001,6.289069e+000,1.000000e+000
30,1.000000,-5.862595e-002,3.909425e-001,9.185462e-001,0.000000e+000,9.913891e-001,1.307265e-001,7.636612e-003,0.000000e+000,-1.170928e-001,9.110843e-001,-3.952400e-001,0.000000e+000,-5.717308e+001,2.225963e+001,6.285954e+000,1.000000e+000
31,1.033333,-5.843960e-002,3.905607e-001,9.187204e-001,0.000000e+000,9.913707e-001,1.308782e-001,7.422743e-003,0.000000e+000,-1.173414e-001,9.112262e-001,-3.948390e-001,0.000000e+000,-5.720864e+001,2.223828e+001,6.305788e+000,1.000000e+000
32,1.066667,-5.815706e-002,3.899203e-001,9.190103e-001,0.000000e+000,9.913536e-001,1.310239e-001,7.143920e-003,0.000000e+000,-1.176267e-001,9.114795e-001,-3.941688e-001,0.000000e+000,-5.725618e+001,2.221878e+001,6.354531e+000,1.000000e+000
33,1.100000,-5.779550e-002,3.889973e-001,9.194242e-001,0.000000e+000,9.913405e-001,1.311391e-001,6.832794e-003,0.000000e+000,-1.179146e-001,9.118572e-001,-3.932081e-001,0.000000e+000,-5.731746e+001,2.220333e+001,6.435147e+000,1.000000e+000
34,1.133333,-5.733328e-002,3.878254e-001,9.199480e-001,0.000000e+000,9.913399e-001,1.311611e-001,6.488578e-003,0.000000e+000,-1.181450e-001,9.123532e-001,-3.919867e-001,0.000000e+000,-5.739109e+001,2.219929e+001,6.551044e+000,1.000000e+000
35,1.166667,-5.669674e-002,3.864939e-001,9.205476e-001,0.000000e+000,9.913613e-001,1.310200e-001,6.049155e-003,0.000000e+000,-1.182722e-001,9.129383e-001,-3.905835e-001,0.000000e+000,-5.747226e+001,2.221803e+001,6.707129e+000,1.000000e+000
