Frame,Time,[0][0],[0][1],[0][2],[0][3],[1][0],[1][1],[1][2],[1][3],[2][0],[2][1],[2][2],[2][3],[3][0],[3][1],[3][2],[3][3]
1,0.033333,-5.073237e-002,1.586319e-001,9.860336e-001,0.000000e+000,9.985881e-001,2.362544e-002,4.757748e-002,0.000000e+000,-1.574817e-002,9.870551e-001,-1.596066e-001,0.000000e+000,-6.160987e+001,-4.001833e+001,8.633268e+000,1.000000e+000
2,0.066667,-4.932622e-002,1.991170e-001,9.787336e-001,0.000000e+000,9.986395e-001,2.642297e-002,4.495387e-002,0.000000e+000,-1.690996e-002,9.796194e-001,-2.001495e-001,0.000000e+000,-6.150411e+001,-3.973716e+001,8.989000e+000,1.000000e+000
3,0.100000,-4.844181e-002,2.381220e-001,9.700264e-001,-1.084202e-019,9.986621e-001,2.913597e-002,4.271954e-002,3.469447e-018,-1.809020e-002,9.707981e-001,-2.392149e-001,-5.421011e-020,-6.139702e+001,-3.950095e+001,9.278845e+000,1.000000e+000
4,0.133333,-4.815425e-002,2.749381e-001,9.602553e-001,0.000000e+000,9.986529e-001,3.185342e-002,4.095960e-002,0.000000e+000,-1.932605e-002,9.609340e-001,-2.761016e-001,0.000000e+000,-6.128518e+001,-3.931363e+001,9.488873e+000,1.000000e+000
5,0.166667,-4.845839e-002,3.089357e-001,9.498477e-001,0.000000e+000,9.986116e-001,3.465034e-002,3.967623e-002,0.000000e+000,-2.065515e-002,9.504515e-001,-3.101858e-001,0.000000e+000,-6.116709e+001,-3.917832e+001,9.613787e+000,1.000000e+000
6,0.200000,-4.929547e-002,3.396751e-001,9.392502e-001,0.000000e+000,9.985401e-001,3.754876e-002,3.882792e-002,0.000000e+000,-2.207880e-002,9.397930e-001,-3.410302e-001,0.000000e+000,-6.104541e+001,-3.909306e+001,9.657687e+000,1.000000e+000
7,0.233333,-5.054923e-002,3.671199e-001,9.287991e-001,0.000000e+000,9.984427e-001,4.054929e-002,3.831191e-002,0.000000e+000,-2.359709e-002,9.292893e-001,-3.685980e-001,0.000000e+000,-6.092422e+001,-3.904643e+001,9.642373e+000,1.000000e+000
8,0.266667,-5.210860e-002,3.916435e-001,9.186404e-001,0.000000e+000,9.983226e-001,4.366910e-002,3.801104e-002,0.000000e+000,-2.522942e-002,9.190802e-001,-3.932621e-001,0.000000e+000,-6.080656e+001,-3.902042e+001,9.602581e+000,1.000000e+000
9,0.300000,-5.389842e-002,4.138416e-001,9.087520e-001,0.000000e+000,9.981816e-001,4.692497e-002,3.783311e-002,0.000000e+000,-2.698624e-002,9.091387e-001,-4.156183e-001,0.000000e+000,-6.069423e+001,-3.899424e+001,9.573779e+000,1.000000e+000
10,0.333333,-5.588214e-002,4.343687e-001,8.990000e-001,0.000000e+000,9.980204e-001,5.031774e-002,3.772533e-002,0.000000e+000,-2.884895e-002,8.993286e-001,-4.363208e-001,0.000000e+000,-6.058771e+001,-3.894955e+001,9.581209e+000,1.000000e+000
