Frame,Time,[0][0],[0][1],[0][2],[0][3],[1][0],[1][1],[1][2],[1][3],[2][0],[2][1],[2][2],[2][3],[3][0],[3][1],[3][2],[3][3]
1,0.033333,-6.540252e-002,3.340995e-001,9.402660e-001,0.000000e+000,9.957407e-001,8.321736e-002,3.969202e-002,0.000000e+000,-6.498539e-002,9.388570e-001,-3.381190e-001,0.000000e+000,-5.769831e+001,1.052057e+001,7.735627e+000,1.000000e+000
2,0.066667,-6.313917e-002,3.356001e-001,9.398863e-001,0.000000e+000,9.958605e-001,8.288731e-002,3.730328e-002,0.000000e+000,-6.538566e-002,9.383508e-001,-3.394443e-001,0.000000e+000,-5.758149e+001,1.041711e+001,7.545648e+000,1.000000e+000
3,0.100000,-6.169149e-002,3.370911e-001,9.394487e-001,0.000000e+000,9.959380e-001,8.264165e-002,3.574771e-002,0.000000e+000,-6.558737e-002,9.378379e-001,-3.408201e-001,0.000000e+000,-5.747726e+001,1.032764e+001,7.336529e+000,1.000000e+000
4,0.133333,-6.090489e-002,3.385128e-001,9.389887e-001,0.000000e+000,9.959870e-001,8.241806e-002,3.488958e-002,0.000000e+000,-6.557908e-002,9.373454e-001,-3.421739e-001,0.000000e+000,-5.738307e+001,1.025706e+001,7.126853e+000,1.000000e+000
5,0.166667,-6.052656e-002,3.397782e-001,9.385561e-001,0.000000e+000,9.960270e-001,8.209226e-002,3.451360e-002,0.000000e+000,-6.532123e-002,9.369161e-001,-3.433969e-001,0.000000e+000,-5.729839e+001,1.021134e+001,6.939036e+000,1.000000e+000
6,0.200000,-6.032067e-002,3.407587e-001,9.382138e-001,0.000000e+000,9.960678e-001,8.164927e-002,3.438534e-002,0.000000e+000,-6.488737e-002,9.365986e-001,-3.443438e-001,0.000000e+000,-5.722596e+001,1.018840e+001,6.795701e+000,1.000000e+000
7,0.233333,-6.011514e-002,3.413391e-001,9.380159e-001,0.000000e+000,9.961119e-001,8.114104e-002,3.431158e-002,0.000000e+000,-6.439971e-002,9.364314e-001,-3.448897e-001,0.000000e+000,-5.716751e+001,1.018291e+001,6.716719e+000,1.000000e+000
8,0.266667,-5.984615e-002,3.414467e-001,9.379939e-001,0.000000e+000,9.961601e-001,8.058442e-002,3.422311e-002,0.000000e+000,-6.390234e-002,9.364403e-001,-3.449582e-001,0.000000e+000,-5.712166e+001,1.019231e+001,6.713746e+000,1.000000e+000
9,0.300000,-5.953562e-002,3.410431e-001,9.381606e-001,0.000000e+000,9.962119e-001,7.997508e-002,3.414677e-002,0.000000e+000,-6.338395e-002,9.366396e-001,-3.445125e-001,0.000000e+000,-5.708531e+001,1.021545e+001,6.791543e+000,1.000000e+000
10,0.333333,-5.925284e-002,3.401515e-001,9.385021e-001,0.000000e+000,9.962647e-001,7.931183e-002,3.415389e-002,0.000000e+000,-6.281684e-002,9.370201e-001,-3.435802e-001,0.000000e+000,-5.705582e+001,1.025185e+001,6.948056e+000,1.000000e+000
11,0.366667,-5.908583e-002,3.389205e-001,9.389579e-001,0.000000e+000,9.963126e-001,7.863998e-002,3.430959e-002,0.000000e+000,-6.221141e-002,9.375226e-001,-3.423172e-001,0.000000e+000,-5.703269e+001,1.029926e+001,7.169762e+000,1.000000e+000
12,0.400000,-5.908525e-002,3.376389e-001,9.394195e-001,0.000000e+000,9.963473e-001,7.806677e-002,3.460762e-002,0.000000e+000,-6.165259e-002,9.380329e-001,-3.410181e-001,0.000000e+000,-5.701842e+001,1.035290e+001,7.430989e+000,1.000000e+000
13,0.433333,-5.923812e-002,3.367353e-001,9.397342e-001,0.000000e+000,9.963607e-001,7.774350e-002,3.494985e-002,0.000000e+000,-6.128937e-002,9.383844e-001,-3.401151e-001,0.000000e+000,-5.701703e+001,1.040767e+001,7.697730e+000,1.000000e+000
14,0.466667,-5.947668e-002,3.366420e-001,9.397526e-001,-2.168404e-019,9.963487e-001,7.778709e-002,3.519344e-002,3.469447e-018,-6.125305e-002,9.384143e-001,-3.400392e-001,-2.168404e-019,-5.703168e+001,1.045892e+001,7.933729e+000,1.000000e+000
15,0.500000,-5.969561e-002,3.376400e-001,9.393805e-001,0.000000e+000,9.963155e-001,7.820601e-002,3.520426e-002,0.000000e+000,-6.157888e-002,9.380209e-001,-3.410644e-001,0.000000e+000,-5.706304e+001,1.050265e+001,8.107244e+000,1.000000e+000
16,0.533333,-5.980313e-002,3.398218e-001,9.385866e-001,0.000000e+000,9.962687e-001,7.893546e-002,3.489929e-002,0.000000e+000,-6.222824e-002,9.371715e-001,-3.432744e-001,0.000000e+000,-5.710980e+001,1.053543e+001,8.196592e+000,1.000000e+000
17,0.566667,-5.980302e-002,3.430528e-001,9.374105e-001,0.000000e+000,9.962118e-001,7.990418e-002,3.431277e-002,0.000000e+000,-6.313193e-002,9.359114e-001,-3.465317e-001,0.000000e+000,-5.716985e+001,1.055293e+001,8.193221e+000,1.000000e+000
18,0.600000,-5.978992e-002,3.469637e-001,9.359710e-001,0.000000e+000,9.961444e-001,8.104421e-002,3.359080e-002,0.000000e+000,-6.420024e-002,9.343704e-001,-3.504715e-001,0.000000e+000,-5.724019e+001,1.055028e+001,8.104408e+000,1.000000e+000
19,0.633333,-5.987839e-002,3.511572e-001,9.344000e-001,0.000000e+000,9.960656e-001,8.228438e-002,3.290674e-002,0.000000e+000,-6.533110e-002,9.326939e-001,-3.547026e-001,0.000000e+000,-5.731591e+001,1.052871e+001,7.953121e+000,1.000000e+000
20,0.666667,-6.012917e-002,3.552652e-001,9.328297e-001,0.000000e+000,9.959760e-001,8.357029e-002,3.237206e-002,0.000000e+000,-6.645619e-002,9.310224e-001,-3.588606e-001,0.000000e+000,-5.739079e+001,1.049397e+001,7.773351e+000,1.000000e+000
21,0.700000,-6.049538e-002,3.589409e-001,9.313978e-001,0.000000e+000,9.958798e-001,8.485641e-002,3.198174e-002,0.000000e+000,-6.755553e-002,9.294950e-001,-3.625953e-001,0.000000e+000,-5.745857e+001,1.045335e+001,7.603839e+000,1.000000e+000
22,0.733333,-6.085534e-002,3.618988e-001,9.302290e-001,0.000000e+000,9.957877e-001,8.604601e-002,3.166861e-002,0.000000e+000,-6.858167e-002,9.282378e-001,-3.656107e-001,0.000000e+000,-5.751474e+001,1.041579e+001,7.476225e+000,1.000000e+000
