Frame,Time,[0][0],[0][1],[0][2],[0][3],[1][0],[1][1],[1][2],[1][3],[2][0],[2][1],[2][2],[2][3],[3][0],[3][1],[3][2],[3][3]
1,0.033333,-1.023077e-002,9.999467e-001,-1.378412e-003,0.000000e+000,2.527692e-001,3.919883e-003,9.675187e-001,0.000000e+000,9.674725e-001,9.550042e-003,-2.527958e-001,0.000000e+000,4.459601e+000,6.241343e+001,8.454005e+001,1.000000e+000
2,0.066667,-1.041445e-002,9.999276e-001,-6.033296e-003,0.000000e+000,3.099917e-001,8.964877e-003,9.506970e-001,0.000000e+000,9.506822e-001,8.030720e-003,-3.100626e-001,0.000000e+000,8.318401e+000,6.269913e+001,8.346638e+001,1.000000e+000
3,0.100000,-1.100392e-002,9.998829e-001,-1.064429e-002,0.000000e+000,3.631877e-001,1.391447e-002,9.316121e-001,0.000000e+000,9.316510e-001,6.385515e-003,-3.632982e-001,0.000000e+000,1.201428e+001,6.296621e+001,8.240694e+001,1.000000e+000
4,0.133333,-1.209191e-002,9.998128e-001,-1.510752e-002,0.000000e+000,4.113435e-001,1.874473e-002,9.112876e-001,0.000000e+000,9.114001e-001,4.804831e-003,-4.114932e-001,0.000000e+000,1.548720e+001,6.321112e+001,8.135059e+001,1.000000e+000
5,0.166667,-1.368594e-002,9.997194e-001,-1.933770e-002,0.000000e+000,4.540032e-001,2.344397e-002,8.906916e-001,0.000000e+000,8.908949e-001,3.410584e-003,-4.541965e-001,0.000000e+000,1.868684e+001,6.343279e+001,8.029310e+001,1.000000e+000
6,0.200000,-1.575982e-002,9.996051e-001,-2.326883e-002,0.000000e+000,4.912037e-001,2.801005e-002,8.705943e-001,0.000000e+000,8.709021e-001,2.290680e-003,-4.914511e-001,0.000000e+000,2.158000e+001,6.363257e+001,7.923707e+001,1.000000e+000
7,0.233333,-1.831004e-002,9.994715e-001,-2.686322e-002,0.000000e+000,5.233635e-001,3.247376e-002,8.514905e-001,0.000000e+000,8.519128e-001,1.531604e-003,-5.236814e-001,0.000000e+000,2.415372e+001,6.381349e+001,7.818813e+001,1.000000e+000
8,0.266667,-2.137374e-002,9.993179e-001,-3.011784e-002,0.000000e+000,5.511715e-001,3.691125e-002,8.335751e-001,0.000000e+000,8.341181e-001,1.216530e-003,-5.515844e-001,0.000000e+000,2.641462e+001,6.398177e+001,7.715083e+001,1.000000e+000
9,0.300000,-2.494291e-002,9.991428e-001,-3.304034e-002,0.000000e+000,5.754045e-001,4.137580e-002,8.168217e-001,0.000000e+000,8.174885e-001,1.362357e-003,-5.759432e-001,0.000000e+000,2.838540e+001,6.414442e+001,7.612658e+001,1.000000e+000
10,0.333333,-2.890638e-002,9.989459e-001,-3.566109e-002,0.000000e+000,5.968267e-001,4.586705e-002,8.010582e-001,0.000000e+000,8.018493e-001,1.872209e-003,-5.975233e-001,0.000000e+000,3.010579e+001,6.430670e+001,7.511259e+001,1.000000e+000
