Frame,Time,[0][0],[0][1],[0][2],[0][3],[1][0],[1][1],[1][2],[1][3],[2][0],[2][1],[2][2],[2][3],[3][0],[3][1],[3][2],[3][3]
1,0.033333,-5.073237e-002,9.985881e-001,-1.574817e-002,0.000000e+000,1.586320e-001,2.362544e-002,9.870551e-001,0.000000e+000,9.860335e-001,4.757748e-002,-1.596065e-001,0.000000e+000,-5.290121e+000,6.205759e+001,3.990798e+001,1.000000e+000
2,0.066667,-4.932623e-002,9.986396e-001,-1.690997e-002,0.000000e+000,1.991170e-001,2.642297e-002,9.796195e-001,0.000000e+000,9.787335e-001,4.495386e-002,-2.001495e-001,0.000000e+000,-3.919256e+000,6.206633e+001,3.968641e+001,1.000000e+000
3,0.100000,-4.844181e-002,9.986622e-001,-1.809020e-002,0.000000e+000,2.381220e-001,2.913598e-002,9.707981e-001,0.000000e+000,9.700264e-001,4.271954e-002,-2.392148e-001,0.000000e+000,-2.568863e+000,6.206940e+001,3.945640e+001,1.000000e+000
4,0.133333,-4.815426e-002,9.986529e-001,-1.932606e-002,0.000000e+000,2.749381e-001,3.185342e-002,9.609342e-001,0.000000e+000,9.602553e-001,4.095960e-002,-2.761017e-001,0.000000e+000,-1.254065e+000,6.206623e+001,3.921331e+001,1.000000e+000
5,0.166667,-4.845838e-002,9.986116e-001,-2.065515e-002,0.000000e+000,3.089356e-001,3.465035e-002,9.504516e-001,0.000000e+000,9.498476e-001,3.967623e-002,-3.101858e-001,0.000000e+000,7.890327e-003,6.205827e+001,3.895574e+001,1.000000e+000
6,0.200000,-4.929547e-002,9.985402e-001,-2.207880e-002,0.000000e+000,3.396751e-001,3.754877e-002,9.397931e-001,0.000000e+000,9.392501e-001,3.882792e-002,-3.410302e-001,0.000000e+000,1.198690e+000,6.204921e+001,3.868513e+001,1.000000e+000
7,0.233333,-5.054924e-002,9.984428e-001,-2.359709e-002,0.000000e+000,3.671199e-001,4.054930e-002,9.292894e-001,0.000000e+000,9.287990e-001,3.831190e-002,-3.685980e-001,0.000000e+000,2.299224e+000,6.204324e+001,3.840196e+001,1.000000e+000
8,0.266667,-5.210860e-002,9.983227e-001,-2.522942e-002,0.000000e+000,3.916434e-001,4.366910e-002,9.190802e-001,0.000000e+000,9.186403e-001,3.801104e-002,-3.932621e-001,0.000000e+000,3.292230e+000,6.204356e+001,3.810511e+001,1.000000e+000
9,0.300000,-5.389842e-002,9.981818e-001,-2.698625e-002,0.000000e+000,4.138416e-001,4.692497e-002,9.091387e-001,0.000000e+000,9.087519e-001,3.783311e-002,-4.156183e-001,0.000000e+000,4.165926e+000,6.205147e+001,3.779230e+001,1.000000e+000
10,0.333333,-5.588215e-002,9.980206e-001,-2.884895e-002,0.000000e+000,4.343687e-001,5.031775e-002,8.993286e-001,0.000000e+000,8.990000e-001,3.772533e-002,-4.363208e-001,0.000000e+000,4.919187e+000,6.206618e+001,3.746103e+001,1.000000e+000
