Frame,Time,[0][0],[0][1],[0][2],[0][3],[1][0],[1][1],[1][2],[1][3],[2][0],[2][1],[2][2],[2][3],[3][0],[3][1],[3][2],[3][3]
1,0.033333,-6.540249e-002,9.957406e-001,-6.498536e-002,0.000000e+000,3.340994e-001,8.321738e-002,9.388570e-001,0.000000e+000,9.402659e-001,3.969201e-002,-3.381191e-001,0.000000e+000,-1.456208e+001,5.627001e+001,-1.101130e+001,1.000000e+000
2,0.066667,-6.313919e-002,9.958605e-001,-6.538565e-002,0.000000e+000,3.356000e-001,8.288731e-002,9.383509e-001,0.000000e+000,9.398861e-001,3.730325e-002,-3.394443e-001,0.000000e+000,-1.422368e+001,5.619821e+001,-1.097858e+001,1.000000e+000
3,0.100000,-6.169148e-002,9.959379e-001,-6.558734e-002,0.000000e+000,3.370911e-001,8.264166e-002,9.378379e-001,0.000000e+000,9.394486e-001,3.574769e-002,-3.408201e-001,0.000000e+000,-1.391951e+001,5.612803e+001,-1.095500e+001,1.000000e+000
4,0.133333,-6.090488e-002,9.959869e-001,-6.557906e-002,0.000000e+000,3.385127e-001,8.241807e-002,9.373454e-001,0.000000e+000,9.389886e-001,3.488956e-002,-3.421739e-001,0.000000e+000,-1.365909e+001,5.605876e+001,-1.093891e+001,1.000000e+000
5,0.166667,-6.052656e-002,9.960269e-001,-6.532121e-002,0.000000e+000,3.397780e-001,8.209226e-002,9.369161e-001,0.000000e+000,9.385559e-001,3.451357e-002,-3.433970e-001,0.000000e+000,-1.345034e+001,5.599298e+001,-1.092712e+001,1.000000e+000
6,0.200000,-6.032068e-002,9.960678e-001,-6.488735e-002,0.000000e+000,3.407586e-001,8.164927e-002,9.365986e-001,0.000000e+000,9.382136e-001,3.438532e-002,-3.443439e-001,0.000000e+000,-1.329951e+001,5.593539e+001,-1.091562e+001,1.000000e+000
7,0.233333,-6.011514e-002,9.961118e-001,-6.439970e-002,0.000000e+000,3.413391e-001,8.114104e-002,9.364314e-001,0.000000e+000,9.380159e-001,3.431156e-002,-3.448898e-001,0.000000e+000,-1.321285e+001,5.588852e+001,-1.090064e+001,1.000000e+000
8,0.266667,-5.984615e-002,9.961600e-001,-6.390232e-002,0.000000e+000,3.414466e-001,8.058441e-002,9.364402e-001,0.000000e+000,9.379939e-001,3.422309e-002,-3.449582e-001,0.000000e+000,-1.319609e+001,5.585121e+001,-1.087874e+001,1.000000e+000
9,0.300000,-5.953562e-002,9.962118e-001,-6.338394e-002,0.000000e+000,3.410430e-001,7.997507e-002,9.366395e-001,0.000000e+000,9.381604e-001,3.414675e-002,-3.445125e-001,0.000000e+000,-1.325407e+001,5.582017e+001,-1.084671e+001,1.000000e+000
10,0.333333,-5.925284e-002,9.962645e-001,-6.281681e-002,0.000000e+000,3.401513e-001,7.931183e-002,9.370201e-001,0.000000e+000,9.385020e-001,3.415386e-002,-3.435803e-001,0.000000e+000,-1.338867e+001,5.579229e+001,-1.080304e+001,1.000000e+000
11,0.366667,-5.908582e-002,9.963124e-001,-6.221140e-002,0.000000e+000,3.389204e-001,7.863998e-002,9.375226e-001,0.000000e+000,9.389578e-001,3.430957e-002,-3.423172e-001,0.000000e+000,-1.359256e+001,5.576645e+001,-1.074954e+001,1.000000e+000
12,0.400000,-5.908526e-002,9.963472e-001,-6.165257e-002,0.000000e+000,3.376387e-001,7.806677e-002,9.380328e-001,0.000000e+000,9.394194e-001,3.460759e-002,-3.410181e-001,0.000000e+000,-1.384531e+001,5.574477e+001,-1.069259e+001,1.000000e+000
13,0.433333,-5.923812e-002,9.963605e-001,-6.128937e-002,0.000000e+000,3.367352e-001,7.774349e-002,9.383844e-001,0.000000e+000,9.397340e-001,3.494983e-002,-3.401152e-001,0.000000e+000,-1.411603e+001,5.573135e+001,-1.064282e+001,1.000000e+000
14,0.466667,-5.947668e-002,9.963486e-001,-6.125301e-002,0.000000e+000,3.366419e-001,7.778710e-002,9.384143e-001,0.000000e+000,9.397524e-001,3.519342e-002,-3.400393e-001,0.000000e+000,-1.436871e+001,5.573065e+001,-1.061038e+001,1.000000e+000
15,0.500000,-5.969561e-002,9.963154e-001,-6.157883e-002,0.000000e+000,3.376399e-001,7.820603e-002,9.380208e-001,0.000000e+000,9.393805e-001,3.520423e-002,-3.410645e-001,0.000000e+000,-1.456831e+001,5.574600e+001,-1.060048e+001,1.000000e+000
16,0.533333,-5.980313e-002,9.962686e-001,-6.222821e-002,0.000000e+000,3.398217e-001,7.893546e-002,9.371714e-001,0.000000e+000,9.385865e-001,3.489927e-002,-3.432744e-001,0.000000e+000,-1.468872e+001,5.577902e+001,-1.061366e+001,1.000000e+000
17,0.566667,-5.980304e-002,9.962118e-001,-6.313192e-002,0.000000e+000,3.430527e-001,7.990417e-002,9.359114e-001,0.000000e+000,9.374104e-001,3.431274e-002,-3.465317e-001,0.000000e+000,-1.471955e+001,5.582893e+001,-1.064664e+001,1.000000e+000
18,0.600000,-5.978993e-002,9.961443e-001,-6.420023e-002,0.000000e+000,3.469636e-001,8.104421e-002,9.343704e-001,0.000000e+000,9.359707e-001,3.359077e-002,-3.504715e-001,0.000000e+000,-1.466844e+001,5.589222e+001,-1.069234e+001,1.000000e+000
19,0.633333,-5.987838e-002,9.960654e-001,-6.533107e-002,0.000000e+000,3.511571e-001,8.228438e-002,9.326939e-001,0.000000e+000,9.343998e-001,3.290672e-002,-3.547026e-001,0.000000e+000,-1.456061e+001,5.596233e+001,-1.074358e+001,1.000000e+000
20,0.666667,-6.012918e-002,9.959759e-001,-6.645617e-002,0.000000e+000,3.552651e-001,8.357029e-002,9.310223e-001,0.000000e+000,9.328296e-001,3.237203e-002,-3.588606e-001,0.000000e+000,-1.443021e+001,5.603122e+001,-1.079454e+001,1.000000e+000
