Frame,Time,[0][0],[0][1],[0][2],[0][3],[1][0],[1][1],[1][2],[1][3],[2][0],[2][1],[2][2],[2][3],[3][0],[3][1],[3][2],[3][3]
1,0.033333,-1.023077e-002,2.527692e-001,9.674726e-001,0.000000e+000,9.999467e-001,3.919872e-003,9.550043e-003,0.000000e+000,-1.378422e-003,9.675186e-001,-2.527958e-001,0.000000e+000,-6.224795e+001,-8.316597e+001,1.646078e+001,1.000000e+000
2,0.066667,-1.041445e-002,3.099917e-001,9.506822e-001,0.000000e+000,9.999275e-001,8.964877e-003,8.030712e-003,0.000000e+000,-6.033292e-003,9.506970e-001,-3.100626e-001,0.000000e+000,-6.210437e+001,-8.249196e+001,1.746813e+001,1.000000e+000
3,0.100000,-1.100392e-002,3.631877e-001,9.316511e-001,0.000000e+000,9.998827e-001,1.391447e-002,6.385510e-003,0.000000e+000,-1.064429e-002,9.316121e-001,-3.632982e-001,0.000000e+000,-6.194946e+001,-8.201089e+001,1.834311e+001,1.000000e+000
4,0.133333,-1.209191e-002,4.113436e-001,9.114002e-001,8.673617e-019,9.998127e-001,1.874473e-002,4.804825e-003,2.710505e-020,-1.510751e-002,9.112876e-001,-4.114932e-001,1.734723e-018,-6.178300e+001,-8.168922e+001,1.905646e+001,1.000000e+000
5,0.166667,-1.368595e-002,4.540031e-001,8.908950e-001,0.000000e+000,9.997193e-001,2.344397e-002,3.410579e-003,0.000000e+000,-1.933770e-002,8.906916e-001,-4.541966e-001,0.000000e+000,-6.160656e+001,-8.148738e+001,1.960450e+001,1.000000e+000
6,0.200000,-1.575982e-002,4.912037e-001,8.709022e-001,0.000000e+000,9.996049e-001,2.801005e-002,2.290671e-003,0.000000e+000,-2.326882e-002,8.705943e-001,-4.914511e-001,0.000000e+000,-6.142358e+001,-8.136586e+001,2.000132e+001,1.000000e+000
7,0.233333,-1.831005e-002,5.233635e-001,8.519128e-001,8.673617e-019,9.994714e-001,3.247375e-002,1.531598e-003,5.421011e-020,-2.686322e-002,8.514906e-001,-5.236815e-001,1.734723e-018,-6.123711e+001,-8.128989e+001,2.027107e+001,1.000000e+000
8,0.266667,-2.137374e-002,5.511715e-001,8.341182e-001,0.000000e+000,9.993177e-001,3.691126e-002,1.216519e-003,0.000000e+000,-3.011783e-002,8.335751e-001,-5.515845e-001,0.000000e+000,-6.104992e+001,-8.123164e+001,2.044445e+001,1.000000e+000
9,0.300000,-2.494292e-002,5.754045e-001,8.174886e-001,0.000000e+000,9.991427e-001,4.137580e-002,1.362354e-003,0.000000e+000,-3.304033e-002,8.168217e-001,-5.759433e-001,0.000000e+000,-6.086617e+001,-8.116896e+001,2.055246e+001,1.000000e+000
10,0.333333,-2.890638e-002,5.968267e-001,8.018494e-001,0.000000e+000,9.989457e-001,4.586705e-002,1.872202e-003,0.000000e+000,-3.566107e-002,8.010581e-001,-5.975233e-001,0.000000e+000,-6.069006e+001,-8.108704e+001,2.062082e+001,1.000000e+000
