Frame,Time,[0][0],[0][1],[0][2],[0][3],[1][0],[1][1],[1][2],[1][3],[2][0],[2][1],[2][2],[2][3],[3][0],[3][1],[3][2],[3][3]
23,0.766667,3.133351e-002,9.970934e-001,-6.944709e-002,0.000000e+000,6.270814e-001,3.449456e-002,7.781895e-001,0.000000e+000,7.783232e-001,-6.793240e-002,-6.241779e-001,0.000000e+000,4.745781e+001,6.960934e+001,8.462343e+001,1.000000e+000
24,0.800000,3.042044e-002,9.970976e-001,-6.979413e-002,0.000000e+000,6.275753e-001,3.529404e-002,7.777554e-001,0.000000e+000,7.779613e-001,-6.746079e-002,-6.246802e-001,0.000000e+000,4.756946e+001,6.971880e+001,8.453687e+001,1.000000e+000
25,0.833333,2.975175e-002,9.971438e-001,-6.941964e-002,0.000000e+000,6.246086e-001,3.567449e-002,7.801226e-001,0.000000e+000,7.803710e-001,-6.657015e-002,-6.217632e-001,0.000000e+000,4.734609e+001,6.979021e+001,8.467261e+001,1.000000e+000
26,0.866667,2.922677e-002,9.972467e-001,-6.815340e-002,0.000000e+000,6.176455e-001,3.559095e-002,7.856508e-001,0.000000e+000,7.859134e-001,-6.505668e-002,-6.149047e-001,0.000000e+000,4.677082e+001,6.982362e+001,8.504570e+001,1.000000e+000
27,0.900000,2.871495e-002,9.974180e-001,-6.582406e-002,0.000000e+000,6.062204e-001,3.498168e-002,7.945269e-001,0.000000e+000,7.947780e-001,-6.271872e-002,-6.036507e-001,0.000000e+000,4.582805e+001,6.982022e+001,8.565860e+001,1.000000e+000
28,0.933333,2.806710e-002,9.976608e-001,-6.233180e-002,0.000000e+000,5.900595e-001,3.379783e-002,8.066519e-001,0.000000e+000,8.068718e-001,-5.941986e-002,-5.877306e-001,0.000000e+000,4.450767e+001,6.978322e+001,8.649529e+001,1.000000e+000
29,0.966667,2.721555e-002,9.979636e-001,-5.768927e-002,0.000000e+000,5.690279e-001,3.198172e-002,8.216960e-001,0.000000e+000,8.218677e-001,-5.518974e-002,-5.669988e-001,0.000000e+000,4.280725e+001,6.971914e+001,8.752471e+001,1.000000e+000
30,1.000000,2.624852e-002,9.982992e-001,-5.205604e-002,0.000000e+000,5.431123e-001,2.947663e-002,8.391424e-001,0.000000e+000,8.392497e-001,-5.029857e-002,-5.414149e-001,0.000000e+000,4.073929e+001,6.963828e+001,8.870358e+001,1.000000e+000
31,1.033333,2.531324e-002,9.986352e-001,-4.568359e-002,0.000000e+000,5.123881e-001,2.627821e-002,8.583518e-001,0.000000e+000,8.583809e-001,-4.513542e-002,-5.110237e-001,0.000000e+000,3.832994e+001,6.955064e+001,8.998322e+001,1.000000e+000
32,1.066667,2.451566e-002,9.989448e-001,-3.883582e-002,0.000000e+000,4.770335e-001,2.244993e-002,8.785983e-001,0.000000e+000,8.785431e-001,-4.006546e-002,-4.759798e-001,0.000000e+000,3.561164e+001,6.946275e+001,9.131681e+001,1.000000e+000
33,1.100000,2.385600e-002,9.992121e-001,-3.171974e-002,0.000000e+000,4.374150e-001,1.809775e-002,8.990775e-001,0.000000e+000,8.989433e-001,-3.532311e-002,-4.366386e-001,0.000000e+000,3.262124e+001,6.937617e+001,9.266254e+001,1.000000e+000
34,1.133333,2.323738e-002,9.994310e-001,-2.444900e-002,0.000000e+000,3.940205e-001,1.332030e-002,9.190050e-001,0.000000e+000,9.188078e-001,-3.098869e-002,-3.934868e-001,0.000000e+000,2.939626e+001,6.928757e+001,9.398275e+001,1.000000e+000
35,1.166667,2.246920e-002,9.996004e-001,-1.715040e-002,0.000000e+000,3.473982e-001,8.279113e-003,9.376811e-001,0.000000e+000,9.374484e-001,-2.702699e-002,-3.470734e-001,0.000000e+000,2.597575e+001,6.919204e+001,9.524251e+001,1.000000e+000
36,1.200000,2.134323e-002,9.997218e-001,-1.004134e-002,0.000000e+000,2.981158e-001,3.222803e-003,9.545242e-001,0.000000e+000,9.542910e-001,-2.336614e-002,-2.979642e-001,0.000000e+000,2.240304e+001,6.908436e+001,9.641167e+001,1.000000e+000
37,1.233333,1.974074e-002,9.997994e-001,-3.370419e-003,0.000000e+000,2.468069e-001,-1.606363e-003,9.690633e-001,0.000000e+000,9.688635e-001,-1.996190e-002,-2.467892e-001,0.000000e+000,1.872529e+001,6.896167e+001,9.746592e+001,1.000000e+000
38,1.266667,1.768647e-002,9.998401e-001,2.672797e-003,0.000000e+000,1.942328e-001,-6.058158e-003,9.809367e-001,0.000000e+000,9.807960e-001,-1.683019e-002,-1.943088e-001,0.000000e+000,1.499429e+001,6.882504e+001,9.838878e+001,1.000000e+000
39,1.300000,1.526226e-002,9.998514e-001,8.009925e-003,0.000000e+000,1.411967e-001,-1.008578e-002,9.899301e-001,0.000000e+000,9.898639e-001,-1.397760e-002,-1.413297e-001,0.000000e+000,1.126230e+001,6.867475e+001,9.917204e+001,1.000000e+000
40,1.333333,1.256349e-002,9.998410e-001,1.265752e-002,0.000000e+000,8.845223e-002,-1.372019e-002,9.959859e-001,0.000000e+000,9.960011e-001,-1.139346e-002,-8.861058e-002,0.000000e+000,7.577099e+000,6.850876e+001,9.981348e+001,1.000000e+000
41,1.366667,9.688324e-003,9.998134e-001,1.671147e-002,0.000000e+000,3.656972e-002,-1.705541e-002,9.991855e-001,0.000000e+000,9.992841e-001,-9.069351e-003,-3.672816e-002,0.000000e+000,3.977506e+000,6.832358e+001,1.003163e+002,1.000000e+000
42,1.400000,6.717817e-003,9.997708e-001,2.033019e-002,0.000000e+000,-1.422980e-002,-2.023308e-002,9.996940e-001,0.000000e+000,9.998762e-001,-7.005116e-003,1.409060e-002,0.000000e+000,4.897629e-001,6.811723e+001,1.006885e+002,1.000000e+000
43,1.433333,3.687280e-003,9.997136e-001,2.364755e-002,0.000000e+000,-6.393570e-002,-2.336370e-002,9.976804e-001,0.000000e+000,9.979472e-001,-5.190691e-003,6.383128e-002,0.000000e+000,-2.872389e+000,6.789021e+001,1.009382e+002,1.000000e+000
44,1.466667,6.155506e-004,9.996419e-001,2.675133e-002,0.000000e+000,-1.126323e-001,-2.651183e-002,9.932830e-001,0.000000e+000,9.936365e-001,-3.624482e-003,1.125756e-001,0.000000e+000,-6.105948e+000,6.764256e+001,1.010732e+002,1.000000e+000
45,1.500000,-2.493426e-003,9.995543e-001,2.974756e-002,0.000000e+000,-1.604072e-001,-2.976228e-002,9.866021e-001,0.000000e+000,9.870477e-001,-2.311703e-003,1.604100e-001,0.000000e+000,-9.216621e+000,6.737380e+001,1.011015e+002,1.000000e+000
46,1.533333,-5.650047e-003,9.994489e-001,3.271107e-002,0.000000e+000,-2.072140e-001,-3.317178e-002,9.777330e-001,0.000000e+000,9.782794e-001,-1.253985e-003,2.072872e-001,0.000000e+000,-1.221723e+001,6.708488e+001,1.010309e+002,1.000000e+000
47,1.566667,-8.901079e-003,9.993241e-001,3.566931e-002,0.000000e+000,-2.529330e-001,-3.676083e-002,9.667851e-001,0.000000e+000,9.674429e-001,-4.165545e-004,2.530892e-001,0.000000e+000,-1.512457e+001,6.677897e+001,1.008680e+002,1.000000e+000
48,1.600000,-1.232837e-002,9.991775e-001,3.863071e-002,0.000000e+000,-2.973420e-001,-4.054928e-002,9.539096e-001,0.000000e+000,9.546915e-001,2.736164e-004,2.975973e-001,0.000000e+000,-1.795499e+001,6.645992e+001,1.006168e+002,1.000000e+000
49,1.633333,-1.599557e-002,9.990057e-001,4.161267e-002,0.000000e+000,-3.401101e-001,-4.457262e-002,9.393286e-001,0.000000e+000,9.402496e-001,8.721938e-004,3.404849e-001,0.000000e+000,-2.072265e+001,6.613139e+001,1.002814e+002,1.000000e+000
50,1.666667,-1.993234e-002,9.988062e-001,4.459745e-002,0.000000e+000,-3.809252e-001,-4.882862e-002,9.233156e-001,0.000000e+000,9.243910e-001,1.415536e-003,3.814437e-001,0.000000e+000,-2.343677e+001,6.579694e+001,9.986694e+001,1.000000e+000
51,1.700000,-2.410310e-002,9.985803e-001,4.750185e-002,0.000000e+000,-4.195760e-001,-5.323286e-002,9.061579e-001,0.000000e+000,9.074001e-001,1.910562e-003,4.202634e-001,0.000000e+000,-2.609836e+001,6.545824e+001,9.937992e+001,1.000000e+000
52,1.733333,-2.844869e-002,9.983312e-001,5.025269e-002,0.000000e+000,-4.559841e-001,-5.769870e-002,8.881155e-001,0.000000e+000,8.895331e-001,2.351254e-003,4.568647e-001,0.000000e+000,-2.869930e+001,6.511600e+001,9.882764e+001,1.000000e+000
53,1.766667,-3.295820e-002,9.980622e-001,5.278003e-002,0.000000e+000,-4.901749e-001,-6.216302e-002,8.694045e-001,0.000000e+000,8.710007e-001,2.782466e-003,4.912739e-001,0.000000e+000,-3.122527e+001,6.477239e+001,9.821656e+001,1.000000e+000
54,1.800000,-3.759325e-002,9.977781e-001,5.500793e-002,0.000000e+000,-5.222372e-001,-6.654823e-002,8.501996e-001,0.000000e+000,8.519712e-001,3.234534e-003,5.235786e-001,0.000000e+000,-3.365973e+001,6.442976e+001,9.755388e+001,1.000000e+000
55,1.833333,-4.226585e-002,9.974858e-001,5.688305e-002,0.000000e+000,-5.521567e-001,-7.076985e-002,8.307313e-001,0.000000e+000,8.326683e-001,3.703183e-003,5.537596e-001,0.000000e+000,-3.598521e+001,6.409021e+001,9.684928e+001,1.000000e+000
56,1.866667,-4.687808e-002,9.971920e-001,5.839933e-002,0.000000e+000,-5.797013e-001,-7.476999e-002,8.113913e-001,0.000000e+000,8.134795e-001,4.182267e-003,5.815786e-001,0.000000e+000,-3.818488e+001,6.375694e+001,9.611701e+001,1.000000e+000
57,1.900000,-5.137323e-002,9.968997e-001,5.959649e-002,0.000000e+000,-6.044665e-001,-7.854204e-002,7.927492e-001,0.000000e+000,7.949724e-001,4.701944e-003,6.066274e-001,0.000000e+000,-4.024125e+001,6.343557e+001,9.537481e+001,1.000000e+000
58,1.933333,-5.559698e-002,9.966136e-001,6.058399e-002,0.000000e+000,-6.259655e-001,-8.206389e-002,7.755209e-001,0.000000e+000,7.778664e-001,5.193115e-003,6.284083e-001,0.000000e+000,-4.213361e+001,6.312936e+001,9.464403e+001,1.000000e+000
59,1.966667,-5.933203e-002,9.963433e-001,6.148005e-002,0.000000e+000,-6.437740e-001,-8.526079e-002,7.604509e-001,0.000000e+000,7.629120e-001,5.539809e-003,6.464786e-001,0.000000e+000,-4.383711e+001,6.284002e+001,9.394989e+001,1.000000e+000
60,2.000000,-6.247577e-002,9.960989e-001,6.232052e-002,0.000000e+000,-6.578382e-001,-8.805785e-002,7.479938e-001,0.000000e+000,7.505636e-001,5.734680e-003,6.607733e-001,0.000000e+000,-4.532263e+001,6.256682e+001,9.331530e+001,1.000000e+000
61,2.033333,-6.500082e-002,9.958933e-001,6.301937e-002,0.000000e+000,-6.683433e-001,-9.034403e-002,7.383462e-001,0.000000e+000,7.410075e-001,5.874507e-003,6.714711e-001,0.000000e+000,-4.655419e+001,6.230688e+001,9.275932e+001,1.000000e+000
62,2.066667,-6.687134e-002,9.957477e-001,6.336158e-002,0.000000e+000,-6.755217e-001,-9.191853e-002,7.315882e-001,0.000000e+000,7.343014e-001,6.120133e-003,6.787959e-001,0.000000e+000,-4.749054e+001,6.205656e+001,9.229823e+001,1.000000e+000
63,2.100000,-6.803570e-002,9.956866e-001,6.308216e-002,0.000000e+000,-6.795065e-001,-9.254171e-002,7.278096e-001,0.000000e+000,7.305081e-001,6.652284e-003,6.828716e-001,0.000000e+000,-4.808998e+001,6.181508e+001,9.195113e+001,1.000000e+000
64,2.133333,-6.844997e-002,9.957260e-001,6.200154e-002,0.000000e+000,-6.802701e-001,-9.204289e-002,7.271593e-001,0.000000e+000,7.297583e-001,7.596227e-003,6.836630e-001,0.000000e+000,-4.831730e+001,6.158858e+001,9.174329e+001,1.000000e+000
65,2.166667,-6.808685e-002,9.958613e-001,6.020330e-002,0.000000e+000,-6.776090e-001,-9.044933e-002,7.298390e-001,0.000000e+000,7.322638e-001,8.898158e-003,6.809630e-001,0.000000e+000,-4.814421e+001,6.139045e+001,9.170256e+001,1.000000e+000
66,2.200000,-6.697138e-002,9.960607e-001,5.812049e-002,0.000000e+000,-6.712278e-001,-8.807676e-002,7.359997e-001,0.000000e+000,7.382194e-001,1.027878e-002,6.744823e-001,0.000000e+000,-4.755360e+001,6.123904e+001,9.185125e+001,1.000000e+000
67,2.233333,-6.522436e-002,9.962828e-001,5.626963e-002,0.000000e+000,-6.608263e-001,-8.537777e-002,7.456669e-001,0.000000e+000,7.476993e-001,1.145119e-002,6.639387e-001,0.000000e+000,-4.653651e+001,6.115266e+001,9.219995e+001,1.000000e+000
