Frame,Time,[0][0],[0][1],[0][2],[0][3],[1][0],[1][1],[1][2],[1][3],[2][0],[2][1],[2][2],[2][3],[3][0],[3][1],[3][2],[3][3]
1,0.033333,-1.270288e-001,9.853029e-001,-1.142004e-001,0.000000e+000,2.130380e-001,1.395477e-001,9.670269e-001,0.000000e+000,9.687510e-001,9.851127e-002,-2.276335e-001,0.000000e+000,-1.087762e+001,5.895382e+001,6.284231e+000,1.000000e+000
2,0.066667,-1.270055e-001,9.852805e-001,-1.144198e-001,0.000000e+000,2.162692e-001,1.400854e-001,9.662316e-001,0.000000e+000,9.680378e-001,9.797128e-002,-2.308774e-001,0.000000e+000,-1.047304e+001,5.888915e+001,6.373879e+000,1.000000e+000
3,0.100000,-1.271372e-001,9.852759e-001,-1.143126e-001,0.000000e+000,2.205010e-001,1.404389e-001,9.652234e-001,0.000000e+000,9.670654e-001,9.750973e-002,-2.351093e-001,0.000000e+000,-1.009274e+001,5.882304e+001,6.442671e+000,1.000000e+000
4,0.133333,-1.274538e-001,9.852805e-001,-1.139206e-001,0.000000e+000,2.260739e-001,1.406926e-001,9.638963e-001,0.000000e+000,9.657360e-001,9.709780e-002,-2.406779e-001,0.000000e+000,-9.744366e+000,5.875656e+001,6.488501e+000,1.000000e+000
5,0.166667,-1.279654e-001,9.852768e-001,-1.133770e-001,0.000000e+000,2.332771e-001,1.410112e-001,9.621317e-001,0.000000e+000,9.639537e-001,9.667136e-002,-2.478870e-001,0.000000e+000,-9.433681e+000,5.869181e+001,6.512856e+000,1.000000e+000
6,0.200000,-1.286661e-001,9.852481e-001,-1.128319e-001,0.000000e+000,2.423065e-001,1.415629e-001,9.598163e-001,0.000000e+000,9.616302e-001,9.615595e-002,-2.569463e-001,0.000000e+000,-9.166102e+000,5.863177e+001,6.518948e+000,1.000000e+000
7,0.233333,-1.295437e-001,9.851874e-001,-1.123573e-001,0.000000e+000,2.531984e-001,1.424215e-001,9.568733e-001,0.000000e+000,9.587017e-001,9.550822e-002,-2.678977e-001,0.000000e+000,-8.948410e+000,5.857903e+001,6.510794e+000,1.000000e+000
8,0.266667,-1.305758e-001,9.850982e-001,-1.119437e-001,0.000000e+000,2.658584e-001,1.435657e-001,9.532618e-001,0.000000e+000,9.551279e-001,9.471177e-002,-2.806427e-001,0.000000e+000,-8.790228e+000,5.853398e+001,6.491264e+000,1.000000e+000
9,0.300000,-1.317027e-001,9.849980e-001,-1.115049e-001,0.000000e+000,2.800409e-001,1.448730e-001,9.489935e-001,0.000000e+000,9.509109e-001,9.375913e-002,-2.949198e-001,0.000000e+000,-8.701122e+000,5.849691e+001,6.461560e+000,1.000000e+000
10,0.333333,-1.328218e-001,9.849159e-001,-1.109009e-001,0.000000e+000,2.954398e-001,1.461487e-001,9.441164e-001,0.000000e+000,9.460834e-001,9.263471e-002,-3.103950e-001,0.000000e+000,-8.684665e+000,5.846731e+001,6.422979e+000,1.000000e+000
11,0.366667,-1.338511e-001,9.848693e-001,-1.100735e-001,0.000000e+000,3.117059e-001,1.472760e-001,9.386954e-001,0.000000e+000,9.407036e-001,9.133482e-002,-3.267027e-001,0.000000e+000,-8.733463e+000,5.844368e+001,6.377024e+000,1.000000e+000
